Name,Count
Riki,0.51
Zeus,0.5
Underlord,0.49
Clinkz,0.57
Meepo,0.5
Abanddon,0.55
Warlock,0.44
Visage,0.59
Pudge,0.49
Chaos Knight,0.49
Naga Siren,0.46
Drow Ranger,0.58
Lycan,0.67
Spectre,0.39
Night Stalker,0.53
Clockwerk,0.55
Vengeful Spirit,0.53
Wraith King,0.49
Undying,0.54
Viper,0.47
Silencer,0.44
Luna,0.54
Mirana,0.56
Crystal Maiden,0.49
Skywrath Mage,0.48
Dazzle,0.51
Keeper of the Light,0.56
Windranger,0.43
Bloodseeker,0.5
Omniknight,0.53
Jakiro,0.56
Sand King,0.53
Phantom Assassin,0.45
Treant Protector,0.57
Ancient Apparition,0.47
Axe,0.47
Venomancer,0.52
Phantom Lancer,0.46
Ogre Magi,0.48
Ursa,0.47
Faceless Void,0.54
Shadow Shaman,0.42
Phoenix,0.49
Tidehunter,0.42
Bounty Hunter,0.51
Disruptor,0.45
Weaver,0.48
Earthshaker,0.46
Dark Seer,0.44
Invoker,0.53
Elder Titan,0.46
Slark,0.49
Legion Commander,0.5
Enigma,0.55
Slardar,0.48
Chen,0.64
Bristleback,0.41
Lifestealer,0.47
Anti-Mage,0.48
Broodmother,0.63
Witch Doctor,0.42
Dark Willow,0.52
Arc Warden,0.44
Spirit Breaker,0.48
Beastmaster,0.6
Necrophos,0.46
Brewmaster,0.51
Huskar,0.5
Techies,0.5
Lich,0.45
Dragon Knight,0.44
Pangolier,0.48
Winter Wyvem,0.46
Lion,0.39
Monkey King,0.51
Gyrocopter,0.52
Centaur Warrunner,0.47
Bane,0.53
Kunkka,0.53
Enchantress,0.45
Juggernaut,0.46
Storm Spirit,0.46
Pugna,0.54
Templar Assassin,0.55
Timbersaw,0.52
Nyx Assassin,0.47
Outworld Devourer,0.52
Shadow Fiend,0.51
Sven,0.4
Sniper,0.38
Troll Warlord,0.45
Razor,0.46
Mars,0.51
Magnus,0.48
Terrorblade,0.36
Shadow Demon,0.53
Grimstroke,0.43
Puck,0.5
Tinker,0.53
Lina,0.52
Death Prophet,0.43
Ember Spirit,0.48
Oracle,0.47
Io,0.62
Leshrac,0.6
Rubick,0.51
Tusk,0.41
Doom,0.37
Alchemist,0.5
Queen of Pain,0.45
Medusa,0.37
Nature's Prophet,0.5
Morphling,0.5
Tiny,0.5
Earth Spirit,0.44
Batrider,0.48
Lone Druid,0.63
